;임무 번호,"타입(0=일일, 1=스페셜, 2=명예, 3=주간 / 10=PC방일일, 11=PC방스페, 12=PC명예, 13=PC방 주간)","NPC 식별자(1=이블린, 2=펠릭스, 3=더글라스 제이콥, 4=빅토르, 5=짐, 6=첸, 7=로웬 )",임무 제목,임무 제목 인수,NPC 내레이션,NPC 내레이션 인수,선행 임무,임무 시작 시각,임무 종료 시각,"Arguments(XML형식, 서버에서 사용)","Variables(XML형식, 서버에서 사용)",조건0 설명,조건0 인수,조건0 목표치,조건1 설명,조건1 인수,조건1 목표치,조건2 설명,조건2 인수,조건2 목표치,조건3 설명,조건3 인수,조건3 목표치,조건4 설명,조건4 인수,조건4 목표치,조건5 설명,조건5 인수,조건5 목표치,조건6 설명,조건6 인수,조건6 목표치,조건7 설명,조건7 인수,조건7 목표치,조건8 설명,조건8 인수,조건8 목표치,조건9 설명,조건9 인수,조건9 목표치,조건10 설명,조건10 인수,조건10 목표치,조건11 설명,조건11 인수,조건11 목표치,"보상0 리소스 네임(0=4001, 1=4002, 2=4003, 3=4004, 4=4005~4010, 5=4011, 6=4012, 7=4013, 8=4014, 9=4015, 10=4016, 11=4017, 12=4018)",보상0 연결 reward ID,보상1 리소스 네임,보상1 연결 Reward ID,보상2 리소스 네임,보상2 연결 Reward ID,보상3 리소스 네임,보상3 연결 Reward ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
1,0,1,#CSO_Quest_Daily001_Name,,#CSO_Quest_Daily001_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily001_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
2,0,5,#CSO_Quest_Daily002_Name,,#CSO_Quest_Daily002_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily002_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
3,0,4,#CSO_Quest_Daily003_Name,,#CSO_Quest_Daily003_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><val init='0' /></vars>,#CSO_Quest_Daily003_Cond1_Arg1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
4,0,2,#CSO_Quest_Daily004_Name,,#CSO_Quest_Daily004_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily004_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
7,0,4,#CSO_Quest_Daily007_Name,,#CSO_Quest_Daily007_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily007_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
8,0,5,#CSO_Quest_Daily008_Name,,#CSO_Quest_Daily008_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><knife init='0' /><pistol init='0' /></vars>,#CSO_Quest_Daily008_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
9,0,4,#CSO_Quest_Daily009_Name,,#CSO_Quest_Daily009_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><val init='0' /></vars>,#CSO_Quest_Daily009_Cond1_Arg1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
10,0,0,#CSO_Quest_Daily010_Name,,#CSO_Quest_Daily010_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><flag init='0' /></vars>,#CSO_Quest_Daily010_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
12,0,3,#CSO_Quest_Daily012_Name,,#CSO_Quest_Daily012_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily012_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
13,0,5,#CSO_Quest_Daily013_Name,,#CSO_Quest_Daily013_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily013_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
16,0,2,#CSO_Quest_Daily016_Name,,#CSO_Quest_Daily016_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily016_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
18,0,4,#CSO_Quest_Daily018_Name,,#CSO_Quest_Daily018_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily018_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
20,0,2,#CSO_Quest_Daily020_Name,,#CSO_Quest_Daily020_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily020_Cond1,,3,#CSO_Quest_Daily020_Cond2,,3,#CSO_Quest_Daily020_Cond3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
26,0,0,#CSO_Quest_Daily026_Name,,#CSO_Quest_Daily026_Desc,,0,,,<args><memberLimit value='2' testvalue='1'/></args>,,#CSO_Quest_Daily026_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
27,0,7,#CSO_Quest_Daily027_Name,,#CSO_Quest_Daily027_Desc,,0,,,<args><memberLimit value='2' testvalue='1'/></args>,,#CSO_Quest_Daily027_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
28,0,0,#CSO_Quest_Daily028_Name,,#CSO_Quest_Daily028_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily028_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
29,0,8,#CSO_Quest_Daily029_Name,,#CSO_Quest_Daily029_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily029_Cond1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
30,0,2,#CSO_Quest_Daily030_Name,,#CSO_Quest_Daily030_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily030_Cond1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
31,0,8,#CSO_Quest_Daily031_Name,,#CSO_Quest_Daily031_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Daily031_Cond1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
503,3,7,#CSO_Quest_Weekly003_Name,,#CSO_Quest_Weekly003_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Weekly003_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
504,3,7,#CSO_Quest_Weekly004_Name,,#CSO_Quest_Weekly004_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Weekly004_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
601,13,7,#CSO_Quest_PC_Weekly001_Name,,#CSO_Quest_PC_Weekly001_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><dt init='0' /></vars>,#CSO_Quest_PC_Weekly001_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4017,12,4018,,,,,,,
602,13,7,#CSO_Quest_PC_Weekly002_Name,,#CSO_Quest_PC_Weekly002_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><num init='0' /></vars>,#CSO_Quest_PC_Weekly002_Cond1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4017,12,4018,,,,,,,
901,10,1,#CSO_Quest_PC_Daily001_Name,,#CSO_Quest_PC_Daily001_Desc,,,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_PC_Daily001_Cond1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
902,10,1,#CSO_Quest_PC_Daily002_Name,,#CSO_Quest_PC_Daily002_Desc,,,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_PC_Daily002_Cond1,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
903,10,1,#CSO_Quest_PC_Daily003_Name,,#CSO_Quest_PC_Daily003_Desc,,,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_PC_Daily003_Cond1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
1001,1,4,#CSO_Quest_Special001_Name_Arg1,<mapName>,#CSO_Quest_Special001_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special001_Cond1_Arg1,<mapName>,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1002,1,2,#CSO_Quest_Special002_Name_Arg1,<mapName>,#CSO_Quest_Special002_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special002_Cond1_Arg1,<mapName>,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1003,1,2,#CSO_Quest_Special003_Name_Arg1,<mapName>,#CSO_Quest_Special003_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special003_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1004,1,4,#CSO_Quest_Special004_Name_Arg1,<mapName>,#CSO_Quest_Special004_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special004_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1005,1,2,#CSO_Quest_Special005_Name_Arg1,<mapName>,#CSO_Quest_Special005_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special005_Cond1_Arg1,<mapName>,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1006,1,2,#CSO_Quest_Special006_Name_Arg1,<mapName>,#CSO_Quest_Special006_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special006_Cond1_Arg1,<mapName>,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1007,1,0,#CSO_Quest_Special007_Name_Arg1,<mapName>,#CSO_Quest_Special007_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special007_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1008,1,0,#CSO_Quest_Special008_Name_Arg1,<mapName>,#CSO_Quest_Special008_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special008_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1009,1,0,#CSO_Quest_Special009_Name_Arg1,<mapName>,#CSO_Quest_Special009_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special009_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1010,1,3,#CSO_Quest_Special010_Name_Arg1,<mapName>,#CSO_Quest_Special010_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special010_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1011,1,3,#CSO_Quest_Special011_Name_Arg1,<mapName>,#CSO_Quest_Special011_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special011_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1012,1,2,#CSO_Quest_Special012_Name_Arg1,<mapName>,#CSO_Quest_Special012_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special012_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1013,1,4,#CSO_Quest_Special013_Name_Arg1,<mapName>,#CSO_Quest_Special013_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special013_Cond1_Arg1,<mapName>,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1014,1,3,#CSO_Quest_Special014_Name_Arg1,<mapName>,#CSO_Quest_Special014_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special014_Cond1_Arg1,<mapName>,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1015,1,2,#CSO_Quest_Special015_Name_Arg1,<mapName>,#CSO_Quest_Special015_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special015_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1016,1,2,#CSO_Quest_Special016_Name_Arg1,<mapName>,#CSO_Quest_Special016_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special016_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1017,1,2,#CSO_Quest_Special017_Name_Arg1,<mapName>,#CSO_Quest_Special017_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special017_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1018,1,4,#CSO_Quest_Special018_Name_Arg1,<mapName>,#CSO_Quest_Special018_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special018_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1019,1,2,#CSO_Quest_Special019_Name_Arg1,<mapName>,#CSO_Quest_Special019_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='2' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special019_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1020,1,0,#CSO_Quest_Special020_Name_Arg1,<mapName>,#CSO_Quest_Special020_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special020_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1021,1,0,#CSO_Quest_Special021_Name_Arg1,<mapName>,#CSO_Quest_Special021_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special021_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1022,1,0,#CSO_Quest_Special022_Name_Arg1,<mapName>,#CSO_Quest_Special022_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_Special022_Cond1_Arg1,<mapName>,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1501,11,4,#CSO_Quest_PC_Special001_Name_Arg1,<mapName>,#CSO_Quest_PC_Special001_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special001_Cond1_Arg1,<mapName>,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1502,11,2,#CSO_Quest_PC_Special002_Name_Arg1,<mapName>,#CSO_Quest_PC_Special002_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special002_Cond1_Arg1,<mapName>,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1503,11,2,#CSO_Quest_PC_Special003_Name_Arg1,<mapName>,#CSO_Quest_PC_Special003_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special003_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1504,11,4,#CSO_Quest_PC_Special004_Name_Arg1,<mapName>,#CSO_Quest_PC_Special004_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special004_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1505,11,2,#CSO_Quest_PC_Special005_Name_Arg1,<mapName>,#CSO_Quest_PC_Special005_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special005_Cond1_Arg1,<mapName>,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1506,11,2,#CSO_Quest_PC_Special006_Name_Arg1,<mapName>,#CSO_Quest_PC_Special006_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special006_Cond1_Arg1,<mapName>,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1507,11,0,#CSO_Quest_PC_Special007_Name_Arg1,<mapName>,#CSO_Quest_PC_Special007_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special007_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1508,11,0,#CSO_Quest_PC_Special008_Name_Arg1,<mapName>,#CSO_Quest_PC_Special008_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special008_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1509,11,0,#CSO_Quest_PC_Special009_Name_Arg1,<mapName>,#CSO_Quest_PC_Special009_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special009_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1510,11,3,#CSO_Quest_PC_Special010_Name_Arg1,<mapName>,#CSO_Quest_PC_Special010_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special010_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1511,11,3,#CSO_Quest_PC_Special011_Name_Arg1,<mapName>,#CSO_Quest_PC_Special011_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special011_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1512,11,2,#CSO_Quest_PC_Special012_Name_Arg1,<mapName>,#CSO_Quest_PC_Special012_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special012_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1513,11,4,#CSO_Quest_PC_Special013_Name_Arg1,<mapName>,#CSO_Quest_PC_Special013_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special013_Cond1_Arg1,<mapName>,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1514,11,3,#CSO_Quest_PC_Special014_Name_Arg1,<mapName>,#CSO_Quest_PC_Special014_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special014_Cond1_Arg1,<mapName>,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1515,11,2,#CSO_Quest_PC_Special015_Name_Arg1,<mapName>,#CSO_Quest_PC_Special015_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special015_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1516,11,2,#CSO_Quest_PC_Special016_Name_Arg1,<mapName>,#CSO_Quest_PC_Special016_Desc_Arg1,<mapName>,0,,,<args><memberLimit value='4' testvalue='1'/></args>,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special016_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
